ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
835-33-9759|4787102126941|Angela|Buck|F|21407 Pineda Lake|Covina|CA|91724|34.0938|-117.856|78868|Emergency planning/management officer|1954-07-02|121044741262|adults_50up_female_urban.json
023-25-3753|639059704911|Emily|Sampson|F|4953 Sarah Street|San Jose|CA|95120|37.2144|-121.8574|973849|Network engineer|1993-08-05|396120564953|adults_2550_female_urban.json
822-52-4504|2349520912161679|David|Fletcher|M|040 Mclaughlin Rapid Apt. 699|Coulterville|CA|95311|37.7197|-120.1197|2197|Research scientist (medical)|1955-09-03|258774044225|adults_50up_male_rural.json
397-70-0259|4006073035130262|Dwayne|Ferguson|M|78410 Evans Corners|Taneytown|MD|21787|39.6658|-77.1691|10693|Event organiser|1981-03-28|755013967281|adults_2550_male_urban.json
487-05-2409|3527563050402333|Mary|Molina|F|752 Brandon Villages|Mount Orab|OH|45154|39.0454|-83.948|9172|Records manager|1968-06-01|243178167858|adults_50up_female_urban.json
334-46-6814|4576594028121174|Mark|Ferguson|M|6197 Heather Via|Alleghany|CA|95910|39.4826|-120.8483|86|Museum education officer|1976-07-24|740696842939|adults_2550_male_rural.json
857-41-1177|344580317866024|Raymond|Gibson|M|8417 Ferguson Lakes Suite 624|Oregon City|OR|97045|45.3377|-122.57|51359|Advertising account executive|1973-07-15|304938235809|adults_50up_male_urban.json
240-69-1413|4003506508646690439|Stephen|Wagner|M|2781 Moore Summit Apt. 875|New Castle|IN|47362|39.9208|-85.3663|30243|Armed forces technical officer|1940-08-29|802276641619|adults_50up_male_urban.json
479-47-3249|2711461797980257|Julie|Richardson|F|121 Wood Wall|Nampa|ID|83686|43.5441|-116.566|104532|Production assistant, radio|1976-08-26|977134040584|adults_2550_female_urban.json
426-45-2068|4688631669144034623|Larry|Williamson|M|844 Gordon Plaza|Buffalo|NY|14207|42.9491|-78.8978|564824|Pilot, airline|1971-06-15|410035174218|adults_50up_male_urban.json
637-03-3236|4532607611215|Jacob|Obrien|M|78086 Tiffany Views Suite 120|Forest Hill|MD|21050|39.5755|-76.4008|18202|Tree surgeon|2003-11-26|2519014331|young_adults_male_urban.json
060-27-6638|6011125725767916|Victoria|Williams|F|0965 Andre View Suite 429|Hilton Head Island|SC|29926|32.2077|-80.7476|39852|Psychologist, prison and probation services|1990-06-05|570914125052|adults_2550_female_urban.json
278-24-7382|180031803602991|Lauren|Smith|F|854 Melanie Street Suite 085|Dunnellon|FL|34432|29.1015|-82.3413|34926|Actor|1995-03-05|292681968661|adults_2550_female_urban.json
188-52-1380|376119961532904|Matthew|Collins|M|8614 Christina Ridge Suite 856|New Baltimore|MI|48047|42.673|-82.7753|56734|Geneticist, molecular|1968-03-25|961249802955|adults_50up_male_urban.json
367-57-3935|36681166099973|Ian|Simmons|M|152 Butler Fields Apt. 105|Zephyrhills|FL|33540|28.2151|-82.1506|94033|Probation officer|1981-10-21|202467520558|adults_2550_male_urban.json
289-58-5703|348490180373973|Stephanie|Flores|F|5805 Peterson Ridges|Locust Grove|GA|30248|33.3449|-84.0982|23249|Teaching laboratory technician|1969-08-15|393413583939|adults_50up_female_urban.json
266-38-8008|4875574122066143|Debra|Jones|F|70041 Jordan Grove Suite 692|Park Hills|MO|63601|37.8498|-90.4885|16656|Designer, interior/spatial|1958-11-01|45400413104|adults_50up_female_urban.json
322-39-1820|3599958289980807|Michael|Stephens|M|930 Lewis Inlet|Winchester|IN|47394|40.1696|-85.0044|8470|Museum/gallery conservator|1990-05-06|607857249596|adults_2550_male_urban.json
389-77-8700|180037316703416|Casey|Martin|M|81638 Yang Roads Suite 867|Rohrersville|MD|21779|39.4431|-77.658|983|Visual merchandiser|1993-11-22|795344634647|adults_2550_male_rural.json
159-68-7126|346299422322108|Jamie|Ward|F|48468 Wilson Run|Corona|CA|92883|33.7541|-117.474|233717|Systems analyst|1981-10-26|508443917093|adults_2550_female_urban.json
157-53-7383|3506908694766038|Tina|Espinoza|F|43104 Sarah Course|New Bremen|OH|45869|40.4389|-84.3821|4534|Technical author|1949-03-25|52632045273|adults_50up_female_urban.json
053-83-0317|4275297097101540294|Erin|Solis|F|8915 Wesley Springs|Lake Forest|CA|92630|33.6437|-117.6868|59182|Physiotherapist|1956-03-04|367734207403|adults_50up_female_urban.json
806-44-3836|4385520283806|Sharon|Gonzales|F|8511 Miles Brooks|Valdosta|GA|31602|30.8931|-83.3278|94325|Therapist, music|1998-02-17|157509198654|adults_2550_female_urban.json
529-60-4445|3525746935741163|Brandy|Riley|F|5367 Richards Mission|Hattiesburg|MS|39401|31.3146|-89.3065|82617|Corporate investment banker|1989-08-15|532904639377|adults_2550_female_urban.json
388-62-0235|4489084843457516634|Darryl|Aguilar|M|56415 Thompson River|Rancho Cucamonga|CA|91730|34.107|-117.5941|101719|Psychologist, prison and probation services|1978-07-17|906518907301|adults_2550_male_urban.json
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json
893-81-1750|3524500963746185|Amanda|Rhodes|F|85395 Sheila Vista Apt. 115|Laceyville|PA|18623|41.6662|-76.1426|2733|Surveyor, minerals|2002-12-28|542643154569|young_adults_female_urban.json
296-10-7883|180007509906134|Katherine|Ross|F|2527 William Summit Suite 777|Akron|OH|44313|41.122|-81.5685|272134|Engineer, agricultural|1981-07-10|852325409942|adults_2550_female_urban.json
212-77-7958|4053600087758|Timothy|Smith|M|19316 Shannon Park Apt. 829|Louisville|KY|40223|38.2651|-85.5582|736284|Retail merchandiser|1981-10-26|395693170795|adults_2550_male_urban.json
118-92-5650|2644621007809149|Chad|Johnson|M|5399 Flores Trace Suite 252|De Soto|MO|63020|38.1204|-90.5546|20714|Dance movement psychotherapist|1995-12-28|780535829999|adults_2550_male_urban.json
707-48-9727|3526282887507641|Joe|Farmer|M|46254 Compton Radial|Austin|TX|78758|30.3764|-97.7078|940359|Fashion designer|1975-08-31|91625605734|adults_2550_male_urban.json
706-53-4012|563183965117|Joshua|Ortiz|M|78240 David Point Suite 622|Houston|TX|77098|29.735|-95.4118|2906700|Architect|1998-08-02|19418440221|adults_2550_male_urban.json
468-36-3568|374465630950338|Wendy|Leonard|F|0093 Maldonado Islands|River Edge|NJ|07661|40.9265|-74.0392|11340|Copy|1950-09-10|681611141071|adults_50up_female_urban.json
829-15-3399|30166912393736|Amanda|Calhoun|F|9925 Jones Curve|Santa Ana|CA|92704|33.7249|-117.909|348131|Occupational hygienist|1986-02-14|170738671886|adults_2550_female_urban.json
487-70-1636|341751333243752|Matthew|Johnson|M|520 Teresa Mountain Suite 554|Palmdale|CA|93591|34.6019|-117.8123|171170|Dealer|1965-08-25|614178970517|adults_50up_male_urban.json
424-83-0562|4128119430742102728|Tiffany|Smith|F|0857 Murphy Crossroad|Cincinnati|OH|45215|39.2353|-84.4619|795220|Television camera operator|2002-05-22|266907697285|young_adults_female_urban.json
244-29-6879|370945213027079|David|White|M|2418 Stephanie Island Suite 633|Sioux Falls|SD|57104|43.5514|-96.7375|161141|Archivist|2004-03-22|158922352227|young_adults_male_urban.json
347-22-4096|3583819588855751|Aaron|Taylor|M|6088 Ramirez Ramp|West Palm Beach|FL|33410|26.8467|-80.088|459921|Conservator, museum/gallery|1987-02-14|90701517638|adults_2550_male_urban.json
094-03-6786|4917045038134952|Gina|Sanchez|F|72795 Rebecca Valley|Marana|AZ|85653|32.4047|-111.2736|22873|Health and safety inspector|1993-04-30|23544397805|adults_2550_female_urban.json
078-56-4746|3537826953776204|Dana|Carpenter|F|34037 Perry Port|Kent|OH|44240|41.1449|-81.3498|43585|Loss adjuster, chartered|1978-05-13|319496829631|adults_2550_female_urban.json
075-45-1122|2704233087089001|Meghan|Brown|F|77879 Holly Turnpike Suite 639|Brattleboro|VT|05301|42.8574|-72.5933|16820|Engineer, mining|1973-11-26|858478869956|adults_50up_female_urban.json
180-70-7449|4667160171787136|Jacqueline|Hernandez|F|8161 Javier Shores Suite 917|North Kingstown|RI|02852|41.5894|-71.4625|22551|Horticulturist, amenity|1985-02-18|53510213452|adults_2550_female_urban.json
134-89-0130|4841207835281912|William|Taylor|M|609 Vasquez River Suite 062|Autryville|NC|28318|35.0997|-78.6021|4627|Research scientist (medical)|1968-02-22|178661855006|adults_50up_male_urban.json
205-49-8611|6011546284720246|Gregory|Jennings|M|3529 Nicole Walks Suite 556|Stroudsburg|PA|18360|40.9877|-75.2485|28362|Special effects artist|1981-09-04|73349030039|adults_2550_male_urban.json
272-46-1959|4262597068011923|Calvin|Chaney|M|966 Gregory Lodge Suite 967|Long Beach|CA|90807|33.8315|-118.1811|471952|Statistician|1980-08-22|732659707080|adults_2550_male_urban.json
221-46-3100|4446177462604072074|Anna|Brown|F|29877 Adams Drive Suite 601|Chesapeake|VA|23321|36.8012|-76.423|222272|Counselling psychologist|1999-08-07|459185909486|adults_2550_female_urban.json
450-59-3163|3549239309730436|Travis|West|M|8850 Jerry Manor Apt. 946|Opa Locka|FL|33055|25.9476|-80.2778|107314|Surveyor, commercial/residential|2002-07-28|753053702187|young_adults_male_urban.json
259-82-4175|3539120347096588|Jennifer|Olson|F|75032 Justin Ways Suite 578|Beaverton|OR|97006|45.5201|-122.8604|183865|Mechanical engineer|1936-03-01|269624846498|adults_50up_female_urban.json
216-49-6384|4518379606442|Cindy|Simpson|F|846 Joshua Tunnel Apt. 525|Monett|MO|65708|36.9212|-93.9258|12624|Development worker, international aid|1968-12-15|903198205518|adults_50up_female_urban.json
146-97-0874|30057462717657|Jerry|Moore|M|35525 Jacqueline Streets|Luxemburg|WI|54217|44.5506|-87.7156|7405|Acupuncturist|1964-08-30|145158749772|adults_50up_male_urban.json
865-51-1338|6521792359743845|Jennifer|Thompson|F|561 Ruth Radial Suite 503|Birmingham|AL|35217|33.5887|-86.765|493806|Therapist, sports|1998-10-30|429845834920|adults_2550_female_urban.json
520-71-6565|675943335629|Kristy|Golden|F|77157 Johnathan Mountain|Scituate|MA|02066|42.2032|-70.7525|17656|Fish farm manager|1981-04-16|517889552096|adults_2550_female_urban.json
746-31-0556|503841426938|Anne|Pitts|F|8482 Elizabeth Bridge Suite 397|Opelousas|LA|70570|30.5144|-92.0897|38987|Intelligence analyst|1992-11-05|559660287782|adults_2550_female_urban.json
616-07-7068|639097466309|Christine|Thomas|F|9112 Richard Junction Suite 362|Staten Island|NY|10307|40.5085|-74.2445|468730|Health visitor|1954-05-03|968164789025|adults_50up_female_urban.json
510-11-6551|4647625239834026|Tony|Salinas|M|984 Brooks Centers|Temple Hills|MD|20748|38.8222|-76.9478|38792|Theatre manager|1973-10-27|862442854207|adults_50up_male_urban.json
628-03-6065|4699136763776283|Brian|Chavez|M|3428 Kane Skyway Apt. 220|Vancouver|WA|98682|45.6644|-122.5212|299480|Water engineer|1980-07-30|399681686561|adults_2550_male_urban.json
366-82-1361|3517544165486173|Kayla|King|F|236 Dominguez Station|Conway|AR|72034|35.0823|-92.4683|77242|Food technologist|1993-02-17|812571163262|adults_2550_female_urban.json
445-75-3973|3562435958818231|Alexandra|Mcconnell|F|70860 Tran Heights Suite 850|Lake Worth|FL|33460|26.6182|-80.056|215808|Glass blower/designer|1977-02-05|148052777614|adults_2550_female_urban.json
146-09-6065|3550377984017319|Heather|Davis|F|23305 Gray Lane|Beach Lake|PA|18405|41.6034|-75.1165|2561|Medical laboratory scientific officer|1989-02-12|72911555386|adults_2550_female_urban.json
721-62-1827|502005944454|Joshua|Ross|M|652 Mejia Mill|Sacramento|CA|95824|38.5178|-121.4419|757530|Meteorologist|1955-02-07|347834045171|adults_50up_male_urban.json
034-48-5504|4686182203322226|Cindy|Holmes|F|32050 Cobb Mountain Suite 155|Wildomar|CA|92595|33.6021|-117.264|29851|Chartered management accountant|1967-05-14|47853117543|adults_50up_female_urban.json
719-35-3386|4577127709318188|Paul|Sanchez|M|83225 Atkins Meadows|Chicago|IL|60608|41.8515|-87.6694|2680484|Nurse, mental health|1955-07-25|176075492563|adults_50up_male_urban.json
162-03-5404|3571830323391022|Donna|Rodriguez|F|5272 Rodriguez Cliffs Apt. 902|Hicksville|NY|11801|40.7623|-73.523|39553|Surveyor, mining|1966-09-26|871118607715|adults_50up_female_urban.json
713-27-5965|4570240785382528|Lisa|Johnson|F|820 Griffin Crossing|Elsa|TX|78543|26.2974|-97.9884|8447|Set designer|1953-03-27|734576273735|adults_50up_female_urban.json
886-71-6438|213135846998844|Thomas|Proctor|M|0277 Aguilar Flat|Los Angeles|CA|90066|34.003|-118.4298|2383912|Arts administrator|1974-01-27|345164033162|adults_50up_male_urban.json
734-83-2774|3592841263853942|Victoria|Powell|F|638 Michael Hills|Terrell|TX|75160|32.7515|-96.2831|29792|Production manager|2000-04-01|359152197017|adults_2550_female_urban.json
233-42-7397|2294867692730784|Taylor|Little|M|350 Jeffrey Haven|Memphis|TN|38122|35.1572|-89.9268|697385|Occupational hygienist|1970-07-26|334506774133|adults_50up_male_urban.json
203-39-4313|3560964077985557|Aimee|Moyer|F|6057 Brennan Mission Suite 627|Port Richey|FL|34668|28.3011|-82.6927|42619|Exercise physiologist|1969-06-24|1502174684|adults_50up_female_urban.json
269-58-1758|4867479667824|Kari|Kelley|F|605 Jacob Gardens Suite 529|Millville|NJ|08332|39.3673|-75.0293|36768|Theatre stage manager|1980-08-08|583964667259|adults_2550_female_urban.json
327-88-7971|180008584113158|Carrie|Ferguson|F|53307 Buck Brook|Fanwood|NJ|07023|40.6419|-74.3868|7318|Printmaker|1953-01-02|283133212244|adults_50up_female_urban.json
537-28-6375|676397510741|Taylor|Smith|F|238 David Landing Suite 700|Fort Lee|NJ|07024|40.8503|-73.9745|35353|Investment analyst|2002-07-24|857116900821|young_adults_female_urban.json
194-54-9162|4866630396661|Crystal|Thomas|F|5202 Thomas Plains|Chicago|IL|60649|41.762|-87.5703|2680484|Proofreader|1971-06-09|10104526068|adults_50up_female_urban.json
291-46-0607|180052918803563|Brandon|Reeves|M|3938 Murphy Path Apt. 394|Tulsa|OK|74105|36.0948|-95.9655|413574|Fast food restaurant manager|1998-07-12|240142956383|adults_2550_male_urban.json
480-53-8281|4957929802788245|Joshua|Lawson|M|38798 Landry Key Apt. 799|Paterson|NJ|07522|40.9252|-74.1781|146199|Health service manager|1937-09-04|162247076355|adults_50up_male_urban.json
294-94-0945|4028361317351629504|Joseph|King|M|08261 Jordan Gardens Suite 058|Lubbock|TX|79424|33.5159|-101.9344|254282|Designer, industrial/product|1983-02-02|931151191791|adults_2550_male_urban.json
369-79-1290|4013905440225313|Brooke|Ramos|F|36667 Davis Lakes Suite 036|Boynton Beach|FL|33436|26.5354|-80.1124|155385|Clinical embryologist|1956-11-28|47759736116|adults_50up_female_urban.json
436-62-6847|4835018559351305719|Steven|Johnson|M|3747 Houston Mount Suite 775|Allentown|PA|18103|40.5891|-75.4645|166081|Financial risk analyst|1979-03-26|898522329316|adults_2550_male_urban.json
417-27-6456|2710528279742271|John|Wiley|M|720 Vargas Harbor Suite 852|Cheboygan|MI|49721|45.608|-84.4867|14436|Advice worker|1986-12-10|197481483664|adults_2550_male_urban.json
229-50-8001|371644032320711|Valerie|Cordova|F|494 Harris Highway|Clifton|AZ|85533|33.1323|-109.2462|2943|Radiation protection practitioner|1984-04-15|366739517172|adults_2550_female_urban.json
009-71-2654|4227087531576920|Alexis|Jackson|F|482 Cole Ferry Suite 145|Saint Joseph|MO|64506|39.7893|-94.8043|87116|Technical author|1966-05-27|763297523621|adults_50up_female_urban.json
877-85-5646|4318402419570558|Richard|Smith|M|07546 Coleman Inlet|Round Rock|TX|78681|30.5084|-97.7062|103538|Doctor, hospital|1939-12-23|24714382462|adults_50up_male_urban.json
391-23-9388|6011009382065790|Timothy|Livingston|M|43491 Kennedy Point|Houston|TX|77089|29.594|-95.2218|2906700|Investment banker, corporate|1984-11-09|664311466897|adults_2550_male_urban.json
734-65-7759|4995060304473328|Joshua|Martinez|M|707 Warren Cove Suite 219|Louisville|KY|40228|38.1442|-85.6265|736284|General practice doctor|1968-07-30|376983081242|adults_50up_male_urban.json
185-56-2596|2248918345978028|Rebecca|Glover|F|48609 Tiffany Fall Apt. 740|Hurlburt Field|FL|32544|30.4229|-86.6985|1818|Microbiologist|1986-03-27|762363470161|adults_2550_female_rural.json
767-43-2288|4157075642649|Rhonda|Fields|F|2142 Haley Inlet Apt. 854|Falmouth|KY|41040|38.6643|-84.3451|7265|Chief Executive Officer|1997-11-09|843903833120|adults_2550_female_urban.json
093-17-5910|4180789691694|Stephanie|Charles|F|97049 Allison Camp Suite 732|Acworth|GA|30102|34.0707|-84.5894|91843|Designer, television/film set|2009-10-18|221034405929|young_adults_female_urban.json
501-94-4797|3579574123049933|Christine|King|F|23086 Adams Square Apt. 255|South El Monte|CA|91733|34.0557|-118.0444|43896|Company secretary|1962-02-24|734369030402|adults_50up_female_urban.json
269-06-6463|4318865368783|Theresa|Young|F|72597 Williams Dam Apt. 485|Carthage|TX|75633|32.1544|-94.3527|13977|Therapist, art|1966-05-01|387558013532|adults_50up_female_urban.json
206-36-7724|5215350841924714|Maria|Chavez|F|638 Ronald Light|Los Angeles|CA|90063|34.0451|-118.1859|2383912|Professor Emeritus|1986-08-21|491549588673|adults_2550_female_urban.json
461-13-4272|213175540990275|Natalie|Mcclain|F|4182 Fisher Burgs|Los Angeles|CA|90013|34.0448|-118.2434|2383912|Forensic psychologist|1992-09-14|526829692255|adults_2550_female_urban.json
181-05-6218|4862253850537287|Krista|Williams|F|925 Seth Brook|Houston|TX|77053|29.5962|-95.4587|2906700|Architect|1971-03-13|109462284818|adults_50up_female_urban.json
604-56-8030|2252527069086760|Rebecca|Boyd|F|467 Meadows Grove|Middletown|PA|17057|40.2041|-76.7331|21329|Government social research officer|1973-03-11|34129118041|adults_50up_female_urban.json
412-93-9279|4212264612021467|Jackie|Dominguez|F|39371 Willis Courts|Cordova|TN|38016|35.1602|-89.7816|78138|Hydrologist|1975-01-18|661667940922|adults_50up_female_urban.json
098-02-7503|6011873357029895|Yvette|Morgan|F|73503 Patricia Plaza Apt. 487|Pittsford|NY|14534|43.0695|-77.5141|31426|Chartered accountant|2003-09-18|168146842997|young_adults_female_urban.json
773-47-9210|4356707454346|Nicole|Peters|F|0117 Kaufman Extension|Shoals|IN|47581|38.6791|-86.7761|3883|Surgeon|1978-12-25|161993431887|adults_2550_female_urban.json
054-23-2101|6011601474611513|Kimberly|Smith|F|84588 Young Key Suite 816|Baltimore|MD|21223|39.287|-76.6476|635495|Market researcher|1977-02-04|994228474326|adults_2550_female_urban.json
862-19-3075|4117753572934459|Jean|Rollins|F|93539 Christina Pines|Anoka|MN|55303|45.2825|-93.4186|46352|Industrial buyer|1961-12-15|93250077714|adults_50up_female_urban.json
157-07-9376|4957529007274920739|Jennifer|Huber|F|31795 Dennis Inlet Apt. 258|Winter Park|FL|32792|28.5974|-81.3036|71471|Hydrogeologist|2001-11-30|73272751392|young_adults_female_urban.json
617-96-5539|370380456059896|Paul|Yoder|M|88068 Kelly Villages Apt. 697|Homer Glen|IL|60491|41.6028|-87.9599|22743|Doctor, general practice|1959-08-08|7584748542|adults_50up_male_urban.json
125-77-7803|36796302524096|Travis|Campbell|M|810 Brian Ways|San Antonio|TX|78233|29.5563|-98.3643|1595797|Engineer, manufacturing systems|1963-01-13|351518236015|adults_50up_male_urban.json
799-30-7578|30140595897057|Jessica|David|F|793 Dickerson Glens Suite 712|Toledo|OH|43623|41.708|-83.6434|316948|Actor|1985-06-29|806947019444|adults_2550_female_urban.json
374-49-6236|6566283651932274|Jessica|Mitchell|F|1077 Scott Prairie Suite 530|Murfreesboro|TN|37128|35.8454|-86.4867|158701|Petroleum engineer|1973-09-13|579827630677|adults_50up_female_urban.json
434-51-6624|3519379904748254|Elizabeth|Gonzalez|F|26238 Thomas Mews Apt. 311|Harlingen|TX|78552|26.1831|-97.7468|87263|Biochemist, clinical|1973-09-02|864008207678|adults_50up_female_urban.json
156-01-8447|4766929447680220|Sean|Hall|M|61010 Christopher Villages|Durant|OK|74701|34.0061|-96.3847|22365|Dance movement psychotherapist|1980-12-18|12494763631|adults_2550_male_urban.json
770-21-6760|4105682784742|Jessica|Carter|F|57348 Johnson Cliff Apt. 446|Houston|TX|77070|29.9781|-95.5803|2906700|Scientist, research (medical)|1937-05-18|14122996659|adults_50up_female_urban.json
668-84-2982|501873659558|Jacqueline|Allen|F|183 Travis Track Apt. 483|Wheeling|WV|26003|40.1027|-80.6476|43002|Theme park manager|1980-08-30|63617350438|adults_2550_female_urban.json
499-34-2917|4308632443335767662|Rebecca|Scott|F|463 Adam Walk|Williamsport|PA|17701|41.2667|-76.9583|55382|Museum/gallery conservator|1958-12-18|832982047200|adults_50up_female_urban.json
661-80-5845|4772312049923110|Joseph|Woodard|M|5199 Kelly Pines Apt. 805|San Antonio|TX|78218|29.4969|-98.4032|1595797|Pharmacist, community|1984-06-04|181989586534|adults_2550_male_urban.json
896-15-6738|3575782405710452|Michael|Perry|M|4174 Larry Cliff|Hartford City|IN|47348|40.4541|-85.3758|9828|Engineer, petroleum|2004-02-22|349431176434|young_adults_male_urban.json
635-39-3099|180078942013861|Devin|Lin|M|8288 Kelly Street|Orem|UT|84097|40.2972|-111.6705|88528|Financial manager|1982-04-22|355441364367|adults_2550_male_urban.json
806-10-5974|6518975365032767|Ray|Gilbert|M|3323 Valerie Springs Apt. 341|Fabius|NY|13063|42.8531|-75.9836|1898|Armed forces logistics/support/administrative officer|1955-08-06|381881900799|adults_50up_male_rural.json
259-29-8571|4799716531390|Russell|Molina|M|86336 Joseph Branch|Grand Junction|CO|81507|39.0158|-108.6129|103017|Biochemist, clinical|1951-01-25|945350118379|adults_50up_male_urban.json
843-22-9549|30146071678580|Antonio|Ramirez|M|5238 Jackson Path|Hemingway|SC|29554|33.7419|-79.4489|9332|Retail merchandiser|2004-04-20|568425366146|young_adults_male_urban.json
353-89-4551|6541678803029491|Susan|Gray|F|53425 Caroline Summit Suite 103|Gwynn Oak|MD|21207|39.3296|-76.7341|48133|Press photographer|1960-09-02|741691770002|adults_50up_female_urban.json
794-35-2280|377905502046456|Judy|Martinez|F|69503 Patton Junctions Suite 330|Bradford|OH|45308|40.1286|-84.4293|4682|Occupational hygienist|1950-06-16|773955644744|adults_50up_female_urban.json
509-09-1615|6011937062591679|Bruce|Blackwell|M|51744 Anthony Flat|Pardeeville|WI|53954|43.534|-89.3265|6926|Newspaper journalist|1998-02-20|184613603207|adults_2550_male_urban.json
308-82-1807|6552441483832296|Stephen|Patterson|M|076 Erik Divide|Lake Mary|FL|32746|28.7577|-81.3508|40571|Television/film/video producer|1993-07-19|735844503043|adults_2550_male_urban.json
108-22-3712|4312436278815783|Christopher|Smith|M|44508 Julia Manor Apt. 511|Paradise Valley|AZ|85253|33.5494|-111.9565|17047|Journalist, broadcasting|2000-09-05|94069541493|young_adults_male_urban.json
208-28-6740|3500523651293508|Amanda|Garrett|F|3008 David Cliffs|Brooklyn|NY|11206|40.7012|-73.9436|2504700|Systems analyst|1984-12-31|706789945630|adults_2550_female_urban.json
351-86-5194|4771738415738214|Derek|Martin|M|5924 Wu Ways|Acworth|GA|30102|34.0707|-84.5894|91843|Museum/gallery curator|1934-12-20|466581297728|adults_50up_male_urban.json
139-54-7557|676126938635|Heather|Parker|F|76203 Dawn Keys|Miami|FL|33193|25.6964|-80.4401|1737737|Research officer, government|1983-11-24|576872988107|adults_2550_female_urban.json
593-53-1088|6551988974400448|Michael|Barber|M|596 Alexandria Gardens Apt. 308|Springvale|ME|04083|43.4715|-70.8064|4525|Surveyor, mining|1999-05-02|55784892082|adults_2550_male_urban.json
595-68-4116|30270631212399|Steven|Delacruz|M|30392 Joseph Pass Suite 325|New York City|NY|10010|40.7375|-73.9813|1577385|Art therapist|1985-05-09|613599716657|adults_2550_male_urban.json
380-33-2607|4687106851660925|Olivia|Andrade|F|054 Kimberly Port Apt. 613|Lutz|FL|33548|28.1385|-82.4821|57430|Community arts worker|1950-10-07|416298883032|adults_50up_female_urban.json
891-25-4597|6011521171394892|Nancy|Mejia|F|917 Spears Crest|Corpus Christi|TX|78414|27.677|-97.365|306433|Museum/gallery conservator|1947-07-12|11018104338|adults_50up_female_urban.json
019-02-8879|4583107697499662829|Melinda|Morales|F|26231 Brown Skyway Apt. 962|Tampa|FL|33613|28.0772|-82.4455|717255|Community arts worker|1980-11-05|381072383324|adults_2550_female_urban.json
470-70-5377|4652981126485053524|Patricia|Mosley|F|305 Jessica Corners|Newark|NY|14513|43.0519|-77.0946|13976|Herbalist|1969-03-18|626479951914|adults_50up_female_urban.json
351-48-7694|180033587995898|Timothy|Owens|M|792 Fox Mountain|Cypress|TX|77433|29.8836|-95.7025|122803|Media buyer|1945-10-14|677675172418|adults_50up_male_urban.json
008-52-3907|36483777282928|Brian|Gonzalez|M|205 Garrett Fall|Colorado Springs|CO|80920|38.9497|-104.767|525713|Company secretary|1968-07-13|300794548594|adults_50up_male_urban.json
625-73-5203|374934301411904|Raymond|Stuart|M|6004 Heather Mountain Apt. 671|Beacon Falls|CT|06403|41.4369|-73.0597|6033|Presenter, broadcasting|1982-09-24|278993975166|adults_2550_male_urban.json
086-75-7531|30270170523768|Eric|Oneal|M|15848 Wolf Fort|Hatfield|PA|19440|40.2778|-75.2975|18038|Jewellery designer|1948-10-05|71004569837|adults_50up_male_urban.json
244-33-6847|6580953937827041|Clinton|Ward|M|0997 Gardner Track Suite 951|Escondido|CA|92027|33.1388|-117.052|171802|Pharmacologist|1977-05-07|435715218930|adults_2550_male_urban.json
137-98-4000|3553599405503109|Jason|Mccormick|M|794 Davis Junction Suite 456|Yuma|AZ|85364|32.7015|-114.6424|141891|Occupational hygienist|1986-07-16|903533186538|adults_2550_male_urban.json
425-04-4302|4536018164267244|Anna|Kennedy|F|409 Gary Parkway|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Horticulturist, commercial|1945-12-26|194489000632|adults_50up_female_urban.json
010-22-0762|3549634094227574|Robert|Walls|M|191 Hamilton Rapids Apt. 844|Merced|CA|95340|37.2983|-120.4649|97703|Administrator, local government|2000-01-24|613578089407|adults_2550_male_urban.json
520-57-9173|3589811284077602|Jennifer|Gonzalez|F|9455 Wilcox Streets Apt. 208|San Jose|CA|95135|37.2974|-121.7562|973849|Speech and language therapist|1938-11-04|958733076696|adults_50up_female_urban.json
652-99-1159|6557232420034947|Angel|Garza|F|41411 Mcmahon Heights Suite 895|Wayne|PA|19087|40.0612|-75.3999|32225|Armed forces operational officer|1968-06-06|985398903819|adults_50up_female_urban.json
438-88-7086|3502530272453773|Teresa|Brady|F|445 Gonzalez Plaza Apt. 601|Cleveland|OH|44125|41.4335|-81.6323|769341|Best boy|1929-09-17|923944597220|adults_50up_female_urban.json
354-46-6905|4175763732931621347|Jennifer|Riley|F|8933 Debra Land Suite 054|Goodyear|AZ|85338|33.4368|-112.3834|67037|International aid/development worker|1992-02-07|450633569414|adults_2550_female_urban.json
672-48-6598|4004491296550792061|Michael|Robertson|M|63813 Joshua Turnpike Suite 117|Savage|MN|55378|44.7615|-93.3434|26958|Designer, exhibition/display|1988-02-12|348501571980|adults_2550_male_urban.json
540-46-6697|376835710125373|Alejandro|Eaton|M|46131 Brewer Brooks|Fairfield|CA|94533|38.2671|-122.0356|105693|Operational researcher|1961-05-08|660504432192|adults_50up_male_urban.json
437-35-4078|3580202160205716|Jennifer|Hunt|F|4032 Jones Greens|Littleton|CO|80123|39.6206|-105.0901|320420|Applications developer|1987-02-02|148504730259|adults_2550_female_urban.json
